aleph system no.,dom id,author (o),author (n),other author (o),other author (n),title,title (n),metadata,edition,imprint (o),p name,p location,p year,type
014867246,lsidyv367991fa,,,,,matilda: a tragedy [in five acts and in verse]. by the author of the earl of warwick [t. francklin]. [electronic resource],matilda: a tragedy,[in five acts and in verse]. by the author of the earl of warwick [t. francklin],,"london, 1775.",,london,1775,tragedy
014867527,lsidyv3679b49e,"ross, malcolm, earl of ross.","ross, malcolm",,,the earl of ross: a tragedy in five acts [and in verse]. [electronic resource],the earl of ross: a tragedy in five acts,[and in verse],,"yarmouth : w. meggy, 1823.",w. meggy,yarmouth,1823,tragedy
014867567,lsidyv36799ab2,"savage, richard, d. 1743.","savage, richard","woodfall, william, 1746-1803.","woodfall, william","sir thomas overbury: a tragedy. altered from the late mr. richard savage [by w. woodfall], etc. [electronic resource]",sir thomas overbury: a tragedy,". altered from the late mr. richard savage [by w. woodfall], etc",,"london : f. newbery, 1777.",f. newbery,london,1777,tragedy
014867830,lsidyv3679a9b5,,,,,"the count de villeroi; or, the fate of patriotism: a tragedy [in five acts and in verse]. [electronic resource]","the count de villeroi; or, the fate of patriotism: a tragedy",[in five acts and in verse],,"london, 1794.",,london,1794,tragedy
014871830,lsidyv37348e64,"baring-gould, s. (sabine), 1834-1924","baringgould,  sabine",,,the tragedy of the cæsars. a study of the characters of the cæsars of the julian and claudian houses. [illustrated.] [electronic resource],the tragedy of the cæsars. a study of the characters of the cæsars of the julian and claudian houses,[illustrated.],,"london : methuen & co., 1892.",methuen & co.,london,1892,tragedy
014872274,lsidyv3705bef7,"macglashan, charles fayette.","macglashan, charles fayette","donner, george.","donner, george","history of the donner party. a tragedy of the sierra ... fourth edition, illustrated. [electronic resource]",history of the donner party. a tragedy of the sierra,"fourth edition, illustrated...",,"san francisco : a. l. bancroft & co., 1881.",a. l. bancroft & co.,san francisco,1881,tragedy
014912190,lsidyv3830d5d5,"baillie, joanna, 1762-1851","baillie, joanna",,,the family legend: a tragedy. [in verse.] [electronic resource],the family legend: a tragedy,[in verse.],,"edinburgh : j. ballantyne & co., 1810.",j. ballantyne & co.,edinburgh,1810,tragedy
014912194,lsidyv3830b420,"barford, richard.","barford, richard",,,"[the virgin queen. a tragedy, etc.] [electronic resource]","the virgin queen. a tragedy, etc.",,[another edition.],"london : j. watts, 1729.",j. watts,london,1729,tragedy
014912271,lsidyv38307c5f,,,"pratt, mr. (samuel jackson), 1749-1814.","pratt, mr. samuel jackson","the fair circassian. a tragedy ... by the author of sympathy, a poem [i.e. s. j. pratt]. [in verse. founded upon j. hawkesworth's “almoran and hamet.”] [electronic resource]",the fair circassian. a tragedy,"by the author of sympathy, a poem [i.e. s. j. pratt]. [in verse. founded upon j. hawkesworth's “almoran and hamet.”]..",,"london : r. baldwin, 1781.",r. baldwin,london,1781,tragedy
014912292,lsidyv3830787f,"delap, john.","delap, john",,,"the royal suppliants. a tragedy, etc. [in verse.] [electronic resource]","the royal suppliants. a tragedy, etc.",[in verse.],,"london & brighthelmstone : j. bowen, 1781.",j. bowen,london & brighthelmstone,1781,tragedy
014912320,lsidyv3833f13f,,,,,an essay on tragedy. [electronic resource],an essay on tragedy,,,"london, 1824.",,london,1824,tragedy
014912524,lsidyv38306f70,"more, hannah, 1745-1833","more, hannah",,,the fatal falsehood: a tragedy [in five acts and in verse]. [electronic resource],the fatal falsehood: a tragedy,[in five acts and in verse],,"london, 1779.",,london,1779,tragedy
014912534,lsidyv3830fc37,"murphy, arthur, 1727-1805.","murphy, arthur",,,alzuma; a tragedy [in five acts and in verse]. [electronic resource],alzuma; a tragedy,[in five acts and in verse],,"london, 1773.",,london,1773,tragedy
014912536,lsidyv3830f980,"murphy, arthur, 1727-1805.","murphy, arthur",,,[the orphan of china; a tragedy [in five acts and in verse].] [electronic resource],the orphan of china; a tragedy,[in five acts and in verse],third edition.,"london, 1772.",,london,1772,tragedy
014912759,lsidyv3830f5d2,,,,,zenobia: a tragedy [in five acts and in verse]. by the author of the orphan of china [a. murphy]. [electronic resource],zenobia: a tragedy,[in five acts and in verse]. by the author of the orphan of china [a. murphy],,"london, 1768.",,london,1768,tragedy
014912763,lsidyv383075a6,,,,,"zoraida: a tragedy [in five acts and in verse. by w. hodson]. ... to which is added a postscript, containing observations on tragedy, etc. [electronic resource]",zoraida: a tragedy,"[in five acts and in verse. by w. hodson].to which is added a postscript, containing observations on tragedy, etc...",,"london, 1780.",,london,1780,tragedy
014939299,lsidyv386108c3,"byron, george gordon byron, baron, 1788-1824.","byron, george gordon byron",,,"sardanapalus, a tragedy [electronic resource] ; the two foscari, a tragedy ; cain, a mystery / by lord byron.","sardanapalus, a tragedy  ; the two foscari, a tragedy ; cain, a mystery / by lord byron",,,"london : john murray, 1821.",john murray,london,1821,tragedy
015174114,lsidyv38dac8ee,"wilson, william bender.","wilson, william bender",,,a few acts and actors in the tragedy of the civil war in the united states. [electronic resource],a few acts and actors in the tragedy of the civil war in the united states,,,"philadelphia : the author, 1892.",the author,philadelphia,1892,tragedy
